T;k (W/m*K);mu (kg/m*s);rho (kg/m3); @ 101.325 kPa
10;0.02512;0.00001772;1.247;
10.25;0.02514;0.00001773;1.246;
10.5;0.02516;0.00001774;1.245;
10.76;0.02518;0.00001776;1.244;
11.01;0.0252;0.00001777;1.243;
11.26;0.02522;0.00001778;1.242;
11.51;0.02524;0.00001779;1.241;
11.76;0.02526;0.0000178;1.24;
12.02;0.02528;0.00001782;1.238;
12.27;0.0253;0.00001783;1.237;
12.52;0.02531;0.00001784;1.236;
12.77;0.02533;0.00001785;1.235;
13.03;0.02535;0.00001787;1.234;
13.28;0.02537;0.00001788;1.233;
13.53;0.02539;0.00001789;1.232;
13.78;0.02541;0.0000179;1.231;
14.03;0.02543;0.00001792;1.23;
14.29;0.02545;0.00001793;1.229;
14.54;0.02547;0.00001794;1.228;
14.79;0.02549;0.00001795;1.226;
15.04;0.0255;0.00001797;1.225;
15.29;0.02552;0.00001798;1.224;
15.55;0.02554;0.00001799;1.223;
15.8;0.02556;0.000018;1.222;
16.05;0.02558;0.00001802;1.221;
16.3;0.0256;0.00001803;1.22;
16.55;0.02562;0.00001804;1.219;
16.81;0.02564;0.00001805;1.218;
17.06;0.02566;0.00001806;1.217;
17.31;0.02568;0.00001808;1.216;
17.56;0.02569;0.00001809;1.215;
17.82;0.02571;0.0000181;1.214;
18.07;0.02573;0.00001811;1.213;
18.32;0.02575;0.00001813;1.212;
18.57;0.02577;0.00001814;1.21;
18.82;0.02579;0.00001815;1.209;
19.08;0.02581;0.00001816;1.208;
19.33;0.02583;0.00001818;1.207;
19.58;0.02585;0.00001819;1.206;
19.83;0.02586;0.0000182;1.205;
20.08;0.02588;0.00001821;1.204;
20.34;0.0259;0.00001822;1.203;
20.59;0.02592;0.00001824;1.202;
20.84;0.02594;0.00001825;1.201;
21.09;0.02596;0.00001826;1.2;
21.34;0.02598;0.00001827;1.199;
21.6;0.026;0.00001829;1.198;
21.85;0.02601;0.0000183;1.197;
22.1;0.02603;0.00001831;1.196;
22.35;0.02605;0.00001832;1.195;
22.61;0.02607;0.00001833;1.194;
22.86;0.02609;0.00001835;1.193;
23.11;0.02611;0.00001836;1.192;
23.36;0.02613;0.00001837;1.191;
23.61;0.02615;0.00001838;1.19;
23.87;0.02617;0.0000184;1.189;
24.12;0.02618;0.00001841;1.188;
24.37;0.0262;0.00001842;1.187;
24.62;0.02622;0.00001843;1.186;
24.87;0.02624;0.00001844;1.185;
25.13;0.02626;0.00001846;1.184;
25.38;0.02628;0.00001847;1.183;
25.63;0.0263;0.00001848;1.182;
25.88;0.02632;0.00001849;1.181;
26.13;0.02633;0.00001851;1.18;
26.39;0.02635;0.00001852;1.179;
26.64;0.02637;0.00001853;1.178;
26.89;0.02639;0.00001854;1.177;
27.14;0.02641;0.00001855;1.176;
27.39;0.02643;0.00001857;1.175;
27.65;0.02645;0.00001858;1.174;
27.9;0.02647;0.00001859;1.173;
28.15;0.02648;0.0000186;1.172;
28.4;0.0265;0.00001861;1.171;
28.66;0.02652;0.00001863;1.17;
28.91;0.02654;0.00001864;1.169;
29.16;0.02656;0.00001865;1.168;
29.41;0.02658;0.00001866;1.167;
29.66;0.0266;0.00001867;1.166;
29.92;0.02661;0.00001869;1.165;
30.17;0.02663;0.0000187;1.164;
30.42;0.02665;0.00001871;1.163;
30.67;0.02667;0.00001872;1.162;
30.92;0.02669;0.00001874;1.161;
31.18;0.02671;0.00001875;1.16;
31.43;0.02673;0.00001876;1.159;
31.68;0.02675;0.00001877;1.158;
31.93;0.02676;0.00001878;1.157;
32.18;0.02678;0.0000188;1.156;
32.44;0.0268;0.00001881;1.155;
32.69;0.02682;0.00001882;1.154;
32.94;0.02684;0.00001883;1.154;
33.19;0.02686;0.00001884;1.153;
33.45;0.02688;0.00001886;1.152;
33.7;0.02689;0.00001887;1.151;
33.95;0.02691;0.00001888;1.15;
34.2;0.02693;0.00001889;1.149;
34.45;0.02695;0.0000189;1.148;
34.71;0.02697;0.00001892;1.147;
34.96;0.02699;0.00001893;1.146;
35.21;0.02701;0.00001894;1.145;
35.46;0.02702;0.00001895;1.144;
35.71;0.02704;0.00001896;1.143;
35.97;0.02706;0.00001898;1.142;
36.22;0.02708;0.00001899;1.141;
36.47;0.0271;0.000019;1.14;
36.72;0.02712;0.00001901;1.139;
36.97;0.02714;0.00001902;1.138;
37.23;0.02715;0.00001904;1.138;
37.48;0.02717;0.00001905;1.137;
37.73;0.02719;0.00001906;1.136;
37.98;0.02721;0.00001907;1.135;
38.24;0.02723;0.00001908;1.134;
38.49;0.02725;0.0000191;1.133;
38.74;0.02726;0.00001911;1.132;
38.99;0.02728;0.00001912;1.131;
39.24;0.0273;0.00001913;1.13;
39.5;0.02732;0.00001914;1.129;
39.75;0.02734;0.00001916;1.128;
40;0.02736;0.00001917;1.127;
