Date and Time	TIMEZONE	AIR TEMP (*C)	SHT45 RH	Longwave Spherical Radiance (W/m^2/sr)	Longwave Spherical Radiance (*C)	UP LW IRRAD (*C)	NORTH LW IRRAD (*C)	EAST LW IRRAD (*C)	SOUTH LW IRRAD (*C)	WEST LW IRRAD (*C)	DOWN LW IRRAD (*C)	DATA SAVE RATE (PER MINUTE)	LOG NUMBER SINCE POWER-ON	SCREEN STATE (0=OFF)	ACCEL X	ACCEL Y	ACCEL Z
2023-11-06 22:45:01	CET	20.94	35.37	422.85	20.71	20.34	22.35	20.17	20.11	20.58	20.73	60.00	33561	1	10.07	0.46	1.05
2023-11-06 22:45:02	CET	20.95	35.35	422.89	20.72	20.42	22.30	20.16	20.15	20.55	20.73	60.00	33562	1	10.00	0.40	1.19
2023-11-06 22:45:03	CET	20.94	35.38	422.77	20.70	20.41	22.32	20.14	20.11	20.55	20.65	60.00	33563	1	9.90	0.48	1.10
2023-11-06 22:45:05	CET	20.94	35.36	422.90	20.72	20.39	22.36	20.17	20.15	20.59	20.66	60.00	33564	1	10.00	0.46	1.09
2023-11-06 22:45:06	CET	20.93	35.39	422.72	20.69	20.39	22.30	20.10	20.15	20.49	20.71	60.00	33565	1	10.05	0.42	1.05
2023-11-06 22:45:07	CET	20.92	35.36	422.73	20.69	20.37	22.29	20.14	20.15	20.49	20.71	60.00	33566	1	10.05	0.39	1.06
2023-11-06 22:45:09	CET	20.93	35.38	422.68	20.68	20.37	22.25	20.16	20.09	20.51	20.71	60.00	33567	1	10.06	0.45	1.07
2023-11-06 22:45:10	CET	20.91	35.39	422.73	20.69	20.37	22.34	20.17	20.05	20.51	20.71	60.00	33568	1	10.08	0.45	1.09
2023-11-06 22:45:12	CET	20.89	35.40	422.68	20.68	20.39	22.36	20.16	20.01	20.51	20.67	60.00	33569	1	10.09	0.51	1.11
2023-11-06 22:45:13	CET	20.90	35.42	422.73	20.69	20.33	22.39	20.10	20.09	20.53	20.71	60.00	33570	1	10.27	0.47	1.22
2023-11-06 22:45:14	CET	20.89	35.42	422.60	20.67	20.37	22.35	20.16	20.05	20.49	20.59	60.00	33571	1	10.31	0.38	1.00
2023-11-06 22:45:16	CET	20.89	35.40	422.81	20.71	20.33	22.37	20.20	20.11	20.51	20.71	60.00	33572	1	10.28	0.46	1.15
2023-11-06 22:45:17	CET	20.87	35.48	422.84	20.71	20.37	22.35	20.17	20.05	20.55	20.77	60.00	33573	1	10.22	0.48	1.09
2023-11-06 22:45:18	CET	20.88	35.45	422.74	20.69	20.33	22.35	20.17	20.05	20.55	20.71	60.00	33574	1	10.12	0.47	1.01
2023-11-06 22:45:20	CET	20.88	35.41	422.74	20.69	20.37	22.35	20.14	20.11	20.51	20.68	60.00	33575	1	10.11	0.47	1.02
2023-11-06 22:45:21	CET	20.89	35.45	422.73	20.69	20.43	22.25	20.17	20.09	20.51	20.70	60.00	33576	1	10.10	0.46	1.06
2023-11-06 22:45:22	CET	20.88	35.45	422.82	20.71	20.38	22.35	20.20	20.09	20.45	20.77	60.00	33577	1	9.95	0.49	0.88
2023-11-06 22:45:24	CET	20.87	35.43	422.65	20.68	20.37	22.35	20.17	20.03	20.47	20.67	60.00	33578	1	10.12	0.50	0.99
2023-11-06 22:45:25	CET	20.89	35.46	422.85	20.71	20.39	22.41	20.20	20.11	20.49	20.67	60.00	33579	1	10.22	0.51	1.17
2023-11-06 22:45:27	CET	20.89	35.43	422.74	20.69	20.43	22.41	20.15	20.05	20.45	20.67	60.00	33580	1	10.14	0.48	1.08
2023-11-06 22:45:28	CET	20.89	35.49	422.82	20.71	20.43	22.31	20.15	20.09	20.49	20.77	60.00	33581	1	10.12	0.48	1.06
2023-11-06 22:45:29	CET	20.88	35.45	422.72	20.69	20.39	22.35	20.15	20.05	20.49	20.71	60.00	33582	1	10.09	0.49	0.99
2023-11-06 22:45:31	CET	20.88	35.43	422.63	20.67	20.33	22.31	20.17	20.11	20.45	20.67	60.00	33583	1	10.12	0.46	0.91
2023-11-06 22:45:32	CET	20.91	35.46	422.90	20.72	20.39	22.35	20.21	20.15	20.51	20.71	60.00	33584	1	10.20	0.46	0.89
2023-11-06 22:45:33	CET	20.93	35.43	422.86	20.71	20.37	22.35	20.23	20.11	20.49	20.73	60.00	33585	1	10.05	0.47	0.88
2023-11-06 22:45:35	CET	20.93	35.44	423.04	20.75	20.49	22.35	20.18	20.15	20.51	20.79	60.00	33586	1	10.12	0.53	0.87
2023-11-06 22:45:36	CET	20.89	35.40	422.90	20.72	20.39	22.31	20.21	20.17	20.51	20.73	60.00	33587	1	10.10	0.47	0.87
2023-11-06 22:45:37	CET	20.90	35.44	422.97	20.73	20.43	22.35	20.17	20.17	20.51	20.77	60.00	33588	1	10.09	0.45	0.96
