Date and Time	T_a [°C]	T_g [°C]	v_a [mA]
2023-11-06 22:45:00	19.821	20.107	0.3175
2023-11-06 22:45:01	19.823	20.107	0.2686
2023-11-06 22:45:02	19.823	20.107	0.2237
2023-11-06 22:45:03	19.824	20.107	0.224
2023-11-06 22:45:04	19.824	20.107	0.3455
2023-11-06 22:45:05	19.826	20.107	0.272
2023-11-06 22:45:06	19.827	20.107	0.3018
2023-11-06 22:45:07	19.827	20.107	0.3021
2023-11-06 22:45:08	19.827	20.107	0.3802
2023-11-06 22:45:09	19.827	20.107	0.4415
2023-11-06 22:45:10	19.827	20.107	0.3424
2023-11-06 22:45:11	19.827	20.107	0.3572
2023-11-06 22:45:12	19.827	20.107	0.4172
2023-11-06 22:45:13	19.827	20.107	0.5153
2023-11-06 22:45:14	19.827	20.107	0.4578
2023-11-06 22:45:15	19.827	20.107	0.4436
2023-11-06 22:45:16	19.827	20.107	0.4042
2023-11-06 22:45:17	19.829	20.107	0.443
2023-11-06 22:45:18	19.829	20.107	0.4396
2023-11-06 22:45:19	19.829	20.107	0.5331
2023-11-06 22:45:20	19.829	20.107	0.5199
2023-11-06 22:45:21	19.829	20.107	0.4402
2023-11-06 22:45:22	19.829	20.107	0.4101
2023-11-06 22:45:23	19.83	20.107	0.379
2023-11-06 22:45:24	19.83	20.107	0.2775
2023-11-06 22:45:25	19.83	20.107	0.3759
2023-11-06 22:45:26	19.83	20.107	0.3329
2023-11-06 22:45:27	19.83	20.107	0.3476
2023-11-06 22:45:28	19.83	20.107	0.2735
2023-11-06 22:45:29	19.83	20.107	0.403
2023-11-06 22:45:30	19.829	20.107	0.3332
2023-11-06 22:45:31	19.83	20.107	0.3569
2023-11-06 22:45:32	19.829	20.107	0.3827
2023-11-06 22:45:33	19.829	20.107	0.2452
2023-11-06 22:45:34	19.829	20.107	0.4255
2023-11-06 22:45:35	19.829	20.107	0.296
2023-11-06 22:45:36	19.829	20.107	0.4107
2023-11-06 22:45:37	19.829	20.107	0.3701
2023-11-06 22:45:38	19.829	20.107	0.3553
2023-11-06 22:45:39	19.829	20.107	0.3123
2023-11-06 22:45:40	19.827	20.107	0.3255
2023-11-06 22:45:41	19.827	20.107	0.3618
2023-11-06 22:45:42	19.827	20.107	0.3381
2023-11-06 22:45:43	19.827	20.107	0.3519
2023-11-06 22:45:44	19.829	20.107	0.3855
2023-11-06 22:45:45	19.829	20.107	0.3569
2023-11-06 22:45:46	19.829	20.107	0.4239
2023-11-06 22:45:47	19.829	20.107	0.4178
2023-11-06 22:45:48	19.829	20.107	0.363
2023-11-06 22:45:49	19.829	20.107	0.284
2023-11-06 22:45:50	19.827	20.107	0.3187
2023-11-06 22:45:51	19.827	20.107	0.3421
2023-11-06 22:45:52	19.827	20.107	0.3464
2023-11-06 22:45:53	19.827	20.107	0.2695
2023-11-06 22:45:54	19.827	20.107	0.2655
2023-11-06 22:45:55	19.829	20.107	0.2513
2023-11-06 22:45:56	19.829	20.107	0.2095
2023-11-06 22:45:57	19.829	20.107	0.2095
2023-11-06 22:45:58	19.829	20.107	0.2898
2023-11-06 22:45:59	19.829	20.107	0.292
2023-11-06 22:46:00	19.829	20.107	0.3729
2023-11-06 22:46:01	19.827	20.107	0.3809
2023-11-06 22:46:02	19.827	20.107	0.3562
2023-11-06 22:46:03	19.827	20.107	0.3916
2023-11-06 22:46:04	19.827	20.107	0.4113
2023-11-06 22:46:05	19.826	20.107	0.3919
2023-11-06 22:46:06	19.826	20.107	0.4049
