Date and Time	F_1	F_2	W1_27	F_3	W1_3	W1_5	F_8	F_7	F_9	C_13	C_14	W3_18	C_16	C_15	W2_7	W2_9	F_14	F_17	W3_15	F_18	W3_13	F_10	W4_25	F_16	W3_17	W3_19	F_12	W4_21	F_13	F_15	F_11	W4_23	UF_1	UF_3	F_6	UF_8	F_4	UF_4	UF_5	F_5	UF_10	W_1	W2_11	UF_6	UF_9	BC_5	BC_3	BC_9	W3_20	W2_10	W2_12	W4_24	W4_22	W3_14	C_18	C_17	W4_26	C_11	C_10	C_16_bis	C_2	C_12	C_1	W2_8	BC_10	BC_6	W1_28	C_9	C_4	W1_4	C_6	W1_6	W1_2	BC_1	C_8	BC_8	BC_4	C_3	C_7	C_5
2023-11-06 22:45:00	23.72	23.62	23.32	23.65	23.36	23.64	23.75	23.75	24.58	23.03	22.69	23.5	23.32	23.1	23.46	23.44	23.49	23.29	23.27	23.25	23.13	23.53	23.23	23.46	23.21	22.99	23.3	23.12	23.57	23.55	23.32	23.11	23.81	26.29	23.19	22.51	23.05	23.85	23.07	23.2	23.92	-5912.94	22.95	22.78	23.28	21.92	21.52	-55970.2	23.06	23.02	22.95	22.85	22.99	23.06	23.47	22.33	22.9	22.24	22.8	22.86	22.07	22.35	22.24	23.02	22.09	20.54	22.9	22.5	22.27	23.0	27.57	22.99	22.84	21.77	22.2	22.33	22.12	22.31	22.24	22.06
2023-11-06 22:45:01	23.72	23.61	23.33	23.65	23.36	23.63	23.74	23.74	24.59	23.04	22.68	23.5	23.32	23.1	23.44	23.44	23.48	23.29	23.27	23.25	23.13	23.55	23.24	23.47	23.21	22.98	23.3	23.12	23.56	23.56	23.32	23.1	23.82	26.3	23.19	22.54	23.06	23.87	23.07	23.2	23.94	-6354.08	22.95	22.78	23.29	21.92	21.52	-55971.71	23.06	23.01	22.95	22.85	22.99	23.06	23.47	22.33	22.9	22.23	22.8	22.85	22.07	22.35	22.22	23.0	22.08	20.54	22.9	22.49	22.27	22.99	27.57	22.99	22.83	21.76	22.2	22.32	22.1	22.32	22.24	22.05
2023-11-06 22:45:02	23.71	23.62	23.32	23.65	23.36	23.62	23.74	23.73	24.57	23.03	22.68	23.5	23.32	23.1	23.44	23.43	23.47	23.28	23.25	23.25	23.11	23.52	23.23	23.44	23.2	22.96	23.3	23.11	23.56	23.54	23.31	23.08	23.81	26.28	23.2	22.52	23.05	23.86	23.07	23.2	23.93	-6150.17	22.95	22.78	23.28	21.92	21.52	-55970.93	23.07	23.02	22.96	22.86	23.01	23.07	23.47	22.35	22.91	22.25	22.81	22.86	22.08	22.35	22.25	23.02	22.08	20.54	22.91	22.49	22.26	23.0	27.56	22.99	22.83	21.76	22.2	22.32	22.11	22.32	22.26	22.06
2023-11-06 22:45:03	23.73	23.63	23.35	23.67	23.36	23.64	23.76	23.75	24.6	23.04	22.7	23.51	23.34	23.11	23.46	23.44	23.48	23.29	23.27	23.25	23.13	23.53	23.24	23.46	23.22	22.98	23.32	23.13	23.56	23.55	23.32	23.11	23.81	26.28	23.17	22.51	23.04	23.85	23.06	23.17	23.92	-6097.85	22.94	22.76	23.27	21.9	21.51	-55968.1	23.05	23.01	22.95	22.85	22.98	23.04	23.44	22.32	22.9	22.23	22.79	22.85	22.05	22.34	22.23	23.01	22.09	20.56	22.91	22.5	22.27	23.0	27.58	22.98	22.84	21.76	22.22	22.33	22.11	22.33	22.23	22.05
2023-11-06 22:45:04	23.71	23.61	23.32	23.64	23.35	23.63	23.74	23.74	24.58	23.02	22.68	23.49	23.32	23.09	23.44	23.44	23.49	23.28	23.27	23.26	23.12	23.54	23.25	23.46	23.21	22.98	23.3	23.13	23.56	23.55	23.32	23.1	23.82	26.28	23.19	22.53	23.06	23.87	23.07	23.19	23.93	-6083.64	22.95	22.78	23.28	21.93	21.53	-55971.02	23.06	23.03	22.96	22.86	22.99	23.06	23.47	22.34	22.91	22.24	22.8	22.86	22.07	22.35	22.25	23.02	22.08	20.55	22.9	22.5	22.26	22.99	27.57	22.99	22.83	21.76	22.2	22.32	22.1	22.31	22.25	22.05
2023-11-06 22:45:05	23.72	23.62	23.33	23.65	23.37	23.64	23.76	23.74	24.59	23.03	22.69	23.5	23.32	23.11	23.45	23.44	23.48	23.29	23.27	23.26	23.13	23.54	23.24	23.46	23.23	22.98	23.31	23.13	23.57	23.56	23.32	23.11	23.8	26.27	23.18	22.5	23.05	23.86	23.06	23.18	23.92	-5789.83	22.94	22.76	23.27	21.91	21.53	-55968.44	23.07	23.02	22.96	22.85	22.99	23.07	23.46	22.34	22.9	22.24	22.82	22.86	22.08	22.35	22.24	23.03	22.08	20.54	22.9	22.49	22.26	22.98	27.58	23.0	22.82	21.76	22.2	22.33	22.11	22.31	22.24	22.06
2023-11-06 22:45:06	23.72	23.61	23.33	23.65	23.36	23.65	23.75	23.75	24.59	23.03	22.68	23.51	23.33	23.11	23.45	23.45	23.49	23.3	23.28	23.26	23.13	23.54	23.24	23.47	23.23	22.99	23.31	23.12	23.57	23.57	23.32	23.1	23.81	26.29	23.17	22.52	23.05	23.86	23.06	23.19	23.92	-5836.56	22.94	22.77	23.27	21.91	21.53	-55969.22	23.06	23.02	22.95	22.86	22.98	23.06	23.46	22.34	22.9	22.24	22.81	22.86	22.05	22.36	22.23	23.02	22.08	20.55	22.89	22.49	22.25	22.99	27.57	22.99	22.82	21.76	22.2	22.33	22.11	22.31	22.23	22.06
2023-11-06 22:45:07	23.72	23.62	23.33	23.65	23.36	23.64	23.76	23.74	24.6	23.03	22.68	23.49	23.32	23.11	23.44	23.44	23.49	23.29	23.26	23.25	23.12	23.53	23.23	23.45	23.22	22.98	23.29	23.12	23.56	23.55	23.32	23.09	23.81	26.29	23.19	22.52	23.06	23.86	23.07	23.2	23.93	-5703.9	22.95	22.79	23.28	21.91	21.53	-55970.2	23.05	23.02	22.96	22.86	22.99	23.06	23.46	22.35	22.91	22.23	22.81	22.86	22.07	22.35	22.24	23.02	22.09	20.55	22.9	22.49	22.27	22.99	27.58	22.98	22.83	21.75	22.2	22.33	22.1	22.31	22.25	22.05
2023-11-06 22:45:08	23.73	23.63	23.34	23.65	23.36	23.65	23.77	23.75	24.58	23.04	22.69	23.5	23.32	23.1	23.46	23.44	23.49	23.28	23.27	23.26	23.13	23.53	23.25	23.45	23.22	22.98	23.3	23.11	23.57	23.56	23.32	23.1	23.8	26.28	23.18	22.51	23.05	23.86	23.06	23.18	23.92	-5784.86	22.95	22.78	23.28	21.92	21.53	-55969.32	23.06	23.02	22.95	22.84	22.98	23.05	23.46	22.34	22.91	22.24	22.81	22.85	22.06	22.34	22.23	23.02	22.08	20.55	22.9	22.49	22.26	22.99	27.57	22.98	22.82	21.76	22.19	22.32	22.1	22.31	22.25	22.05
2023-11-06 22:45:09	23.73	23.62	23.34	23.66	23.36	23.64	23.76	23.74	24.59	23.04	22.7	23.51	23.33	23.12	23.44	23.44	23.49	23.29	23.26	23.25	23.13	23.54	23.23	23.46	23.22	22.98	23.29	23.12	23.56	23.55	23.31	23.1	23.81	26.28	23.18	22.52	23.05	23.86	23.06	23.18	23.92	-5658.73	22.94	22.77	23.28	21.91	21.53	-55969.56	23.05	23.01	22.96	22.85	22.98	23.06	23.46	22.34	22.89	22.24	22.8	22.84	22.05	22.35	22.23	23.02	22.1	20.58	22.9	22.51	22.28	23.01	27.57	22.99	22.83	21.77	22.22	22.33	22.1	22.32	22.25	22.06
